method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
mean,constant:mean:fit=train,test,26,0.711468,0.617270,0.006718,0.309167,1.426059,0.711468
mean,constant:mean:fit=train,train,76,3.322762,1.744483,0.031399,0.116150,4.709487,3.322762
mean,constant:mean:fit=train,val,26,0.723440,0.606949,0.006848,0.236238,1.094724,0.723440
knn,model:knn:fit=train,test,26,4.855808,3.169043,0.045853,2.110083,9.663194,4.855808
knn,model:knn:fit=train,train,76,2.315174,0.979216,0.021878,0.080929,1.768765,2.315174
knn,model:knn:fit=train,val,26,3.825270,2.244203,0.036211,1.249135,9.165106,3.825270
extra_trees,model:extra_trees:fit=train,test,26,9.826492,7.205329,0.092791,4.270086,15.121652,9.826492
extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
extra_trees,model:extra_trees:fit=train,val,26,9.083277,6.610690,0.085984,2.966127,15.415926,9.083277
