target,split_id,group_column,split_salt,split_viable,split_reason,train_rows,val_rows,test_rows,mean_val_rmse,mean_test_rmse,best_admissible_profile,best_admissible_method,best_admissible_val_rmse,best_admissible_test_rmse,best_admissible_val_gain_vs_mean,best_admissible_test_gain_vs_mean,best_admissible_relative_val_gain,split_pass,best_negative_profile,best_negative_method,best_negative_val_rmse,best_negative_test_rmse,negative_control_dominates
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,phase117,true,ok,227,84,54,7.101409205,4.254806491,cell_trigger_safe,hist_gradient_boosting,4.284535505,2.472577417,2.816873700,1.782229074,0.396664045,true,target_family_plus_shortcuts,hist_gradient_boosting,3.206082440,3.054985794,true
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,phase118_cell_0,true,ok,188,117,60,6.715202292,4.852397579,cell_pretest,extra_trees,4.961713149,4.259872940,1.753489143,0.592524638,0.261122311,true,target_family_leakage,hist_gradient_boosting,5.489318766,4.515127153,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,phase118_cell_1,true,ok,220,98,47,9.999182182,3.076913462,cell_pretest,hist_gradient_boosting,5.019937440,3.164454354,4.979244743,-0.087540892,0.497965199,false,target_family_plus_shortcuts,knn,6.216080567,3.660309947,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,phase118_cell_2,true,ok,195,97,73,6.274785746,10.110310696,cell_pretest,hist_gradient_boosting,4.007217148,6.081368173,2.267568599,4.028942524,0.361377853,true,target_family_plus_shortcuts,hist_gradient_boosting,2.701392743,8.402519488,true
Post-Test-Mass-Unrecovered-g,cell_description_hash_3,Cell-Description,phase118_cell_3,true,ok,240,44,81,5.081670990,6.457952789,cell_trigger_safe,knn,4.040572085,4.939757945,1.041098905,1.518194845,0.204873339,true,series_shortcut,hist_gradient_boosting,4.573309997,5.206823744,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_4,Cell-Description,phase118_cell_4,true,ok,221,64,80,6.732335023,6.159860306,cell_trigger_safe,extra_trees,3.028094541,5.888864123,3.704240482,0.270996183,0.550216302,true,target_family_plus_shortcuts,extra_trees,1.611464928,3.562315924,true
Post-Test-Mass-Unrecovered-g,test_series_hash,Test-Series,phase118_series,true,ok,233,64,68,6.875429690,11.774444965,cell_pretest,hist_gradient_boosting,3.506885938,5.810441096,3.368543752,5.964003868,0.489939379,true,target_family_plus_shortcuts,extra_trees,3.809104869,5.490762779,false
Post-Test-Mass-Unrecovered-g,s_ftrc_generation_hash,S-FTRC-Generation,phase118_generation,true,ok,226,62,77,5.485170256,3.622095435,cell_pretest,hist_gradient_boosting,3.574772182,3.385583752,1.910398075,0.236511683,0.348284189,true,target_family_plus_shortcuts,extra_trees,3.648284703,3.254041665,false
Post-Test-Mass-Unrecovered-g,trigger_mechanism_hash,Trigger-Mechanism,phase118_trigger,true,ok,156,99,110,6.419057743,9.219640603,cell_pretest,knn,3.214054112,14.343153118,3.205003631,-5.123512515,0.499295030,false,cell_description_shortcut,extra_trees,3.416142848,7.106567975,false
Post-Test-Mass-Unrecovered-g,cell_format_hash,Cell-Format,phase118_format,true,ok,56,282,27,8.398487871,11.348580970,cell_pretest,hist_gradient_boosting,4.514219492,8.890014223,3.884268379,2.458566746,0.462496159,true,target_family_plus_shortcuts,hist_gradient_boosting,3.957108232,13.942303919,false
